,,Performance
Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Timo Werner,9,FW,22-254,64,0,0,0,0,,,0,0,,,,,,,0,,
   Julian Brandt,10,"FW,MF",22-197,26,0,0,0,0,,,0,0,,,,,,,0,,
Leroy Sané,19,FW,22-308,77,1,0,0,0,,,0,0,,,,,,,0,,
   Leon Goretzka,6,MF,23-282,13,0,0,0,0,,,0,0,,,,,,,0,,
Serge Gnabry,20,FW,23-124,72,1,1,0,0,,,0,0,,,,,,,0,,
   Thomas Müller,13,"FW,MF",29-063,18,0,0,0,0,,,0,0,,,,,,,0,,
Jonas Hector,3,LM,28-172,69,0,0,0,0,,,0,0,,,,,,,0,,
   Nico Schulz,14,"DF,MF",25-228,21,0,0,0,0,,,0,0,,,,,,,0,,
Kai Havertz,23,CM,19-157,64,0,1,0,0,,,0,0,,,,,,,0,,
   Sebastian Rudy,21,MF,28-260,26,0,0,0,0,,,0,0,,,,,,,0,,
Joshua Kimmich,18,CM,23-280,90,0,0,0,0,,,0,0,,,,,,,0,,
Thilo Kehrer,2,RM,22-055,90,0,0,0,0,,,0,0,,,,,,,0,,
Antonio Rüdiger,16,CB,25-257,60,0,1,0,0,,,0,0,,,,,,,0,,
   Jonathan Tah,17,DF,22-277,30,0,0,0,0,,,0,0,,,,,,,0,,
Niklas Süle,15,CB,23-073,90,1,0,0,0,,,0,0,,,,,,,0,,
Matthias Ginter,4,CB,24-300,90,0,0,0,0,,,0,0,,,,,,,0,,
Manuel Neuer,1,GK,32-233,90,0,0,0,0,,,0,0,,,,,,,0,,
17 Players,,,,990,3,3,0,0,,,0,0,,,,,,,0,,
