Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2016-09-04,20:45 ,WCQ — UEFA (M),First round,Sun,Away,W,3,0,no Norway,,,,"26,793",Manuel Neuer,3-4-3,William Collum,Match Report,
2016-10-08,20:45 ,WCQ — UEFA (M),First round,Sat,Home,W,3,0,cz Czech Republic,,,,"51,299",Manuel Neuer,4-4-1-1,Ovidiu Hațegan,Match Report,
2016-10-11,20:45 ,WCQ — UEFA (M),First round,Tue,Home,W,2,0,nir Northern Ireland,,,,"42,132",Manuel Neuer,4-2-3-1,Paolo Tagliavento,Match Report,
2016-11-11,20:45 ,WCQ — UEFA (M),First round,Fri,Away,W,8,0,sm San Marino,,,,"3,851",Sami Khedira,4-2-3-1,Artyom Kuchin,Match Report,
2017-03-26,20:00 ,WCQ — UEFA (M),First round,Sun,Away,W,4,1,az Azerbaijan,,,,"30,000",Sami Khedira,4-2-3-1,Daniele Orsato,Match Report,
2017-06-10,20:45 ,WCQ — UEFA (M),First round,Sat,Home,W,7,0,sm San Marino,,,,"32,467",Julian Draxler,3-3-2-2,Radu Petrescu,Match Report,
2017-09-01,20:45 ,WCQ — UEFA (M),First round,Fri,Away,W,2,1,cz Czech Republic,,,,"20,000",Thomas Müller,3-3-3-1,Sergey Karasev,Match Report,
2017-09-04,20:45 ,WCQ — UEFA (M),First round,Mon,Home,W,6,0,no Norway,,,,"53,840",Thomas Müller,4-2-3-1,Gediminas Mažeika,Match Report,
2017-10-05,19:45 ,WCQ — UEFA (M),First round,Thu,Away,W,3,1,nir Northern Ireland,,,,"18,104",Thomas Müller,4-2-3-1,Danny Makkelie,Match Report,
2017-10-08,20:45 ,WCQ — UEFA (M),First round,Sun,Home,W,5,1,az Azerbaijan,,,,"34,613",Thomas Müller,3-3-3-1,Andris Treimanis,Match Report,
2018-03-23,20:45 ,Friendlies (M),Friendlies (M),Fri,Home,D,1,1,es Spain,,,,"50,653",Thomas Müller,4-2-3-1,William Collum,Match Report,
2018-03-27,20:45 ,Friendlies (M),Friendlies (M),Tue,Home,L,0,1,br Brazil,,,,"72,717",Jérôme Boateng,4-2-3-1,Jonas Eriksson,Match Report,
2018-06-02,19:40 ,Friendlies (M),Friendlies (M),Sat,Away,L,1,2,at Austria,,,,"30,000",Manuel Neuer,4-2-3-1,Pavel Královec,Match Report,
2018-06-08,19:30 ,Friendlies (M),Friendlies (M),Fri,Home,W,2,1,sa Saudi Arabia,,,,"30,210",Manuel Neuer,4-2-3-1,Slavko Vinčič,Match Report,
2018-06-17,18:00 ,FIFA World Cup,Group stage,Sun,Neutral,L,0,1,mx Mexico,1.8,0.8,66,"78,011",Manuel Neuer,4-2-3-1,Alireza Faghani,Match Report,
2018-06-23,21:00 ,FIFA World Cup,Group stage,Sat,Neutral,W,2,1,se Sweden,1.1,0.6,75,"44,287",Manuel Neuer,4-3-2-1,Szymon Marciniak,Match Report,
2018-06-27,17:00 ,FIFA World Cup,Group stage,Wed,Neutral,L,0,2,kr Korea Republic,2.9,1.8,74,"41,835",Manuel Neuer,4-2-3-1,Mark Geiger,Match Report,
2018-09-06,20:45 ,UEFA Nations League,League A,Thu,Home,D,0,0,fr France,,,,"67,485",Manuel Neuer,4-2-3-1,Daniele Orsato,Match Report,
2018-09-09,20:45 ,Friendlies (M),Friendlies (M),Sun,Home,W,2,1,pe Peru,,,,"25,494",Toni Kroos,4-3-3,Robert Schörgenhofer,Match Report,
2018-10-13,20:45 ,UEFA Nations League,League A,Sat,Away,L,0,3,nl Netherlands,,,,"52,536",Manuel Neuer,4-1-4-1,Cüneyt Çakιr,Match Report,
2018-10-16,20:45 ,UEFA Nations League,League A,Tue,Away,L,1,2,fr France,,,,"75,000",Manuel Neuer,4-4-2,Danilo Grujić,Match Report,
2018-11-15,20:45 ,Friendlies (M),Friendlies (M),Thu,Home,W,3,0,ru Russia,,,,"35,288",Manuel Neuer,3-4-3,Sandro Schärer,Match Report,
2018-11-19,20:45 ,UEFA Nations League,League A,Mon,Home,D,2,2,nl Netherlands,,,,"42,186",Manuel Neuer,3-4-3,Ovidiu Hațegan,Match Report,
