Date,Jour,Competition,Round,Venue,Resultats,Equipe,Opponent,Start match,Position,Minute played,Goals,Passes decisives,Penalty goals,Penalty attempted,Total shots,Shot on target,Yellow cards,Red cards,Touches,Pressure applies,Tackles,Interceptions,Block,SCA,GCA,Passes completed,Passes total,Ball Carries,Dribble succedeed,Dribble attempted
2017-08-13,Sun,Supercopa de España,Supercopa de España,Neutral,L 1–3,Barcelona,Real Madrid,Y,FW,90,1,0,1,1,,,1,0,,,,,,,,,,,,
2017-08-16,Wed,Supercopa de España,Supercopa de España,Away,L 0–2,Barcelona,Real Madrid,Y*,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,
2017-08-20,Sun,La Liga,Matchweek 1,Home,W 2–0,Barcelona,Betis,Y*,FW,90,0,0,0,0,10,1,0,0,84,14,0,0,2,6,1,48,63,67,7,11
2017-08-26,Sat,La Liga,Matchweek 2,Away,W 2–0,Barcelona,Alavés,Y,FW,90,2,0,0,1,9,5,0,0,89,18,0,0,1,8,0,55,67,80,6,9
2017-08-31,Thu,WCQ,WCQ — CONMEBOL (M),Away,D 0–0,Argentina,Uruguay,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,
2017-09-05,Tue,WCQ,WCQ — CONMEBOL (M),Home,D 1–1,Argentina,Venezuela,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,
2017-09-09,Sat,La Liga,Matchweek 3,Home,W 5–0,Barcelona,Espanyol,Y,FW,90,3,0,0,0,8,3,0,0,77,13,1,0,1,9,2,48,61,63,8,10
2017-09-12,Tue,Champions Lg,Group stage,Home,W 3–0,Barcelona,Juventus,Y,FW,90,2,0,0,0,5,3,1,0,,,,0,,,,,,,,
2017-09-16,Sat,La Liga,Matchweek 4,Away,W 2–1,Barcelona,Getafe,Y,LW,90,0,1,0,0,3,1,0,0,65,13,0,0,2,3,1,38,54,61,7,8
2017-09-19,Tue,La Liga,Matchweek 5,Home,W 6–1,Barcelona,Eibar,Y,FW,90,4,0,1,1,7,6,0,0,57,12,0,0,0,5,4,32,41,50,4,6
2017-09-23,Sat,La Liga,Matchweek 6,Away,W 3–0,Barcelona,Girona,Y*,FW,90,0,0,0,0,3,2,0,0,53,11,0,1,0,7,2,32,42,44,3,4
2017-09-27,Wed,Champions Lg,Group stage,Away,W 1–0,Barcelona,Sporting CP,Y,FW,90,0,0,0,0,5,2,0,0,,,,0,,,,,,,,
2017-10-01,Sun,La Liga,Matchweek 7,Home,W 3–0,Barcelona,Las Palmas,Y*,FW,90,2,1,0,0,10,6,0,0,65,22,2,0,0,9,2,36,48,64,9,11
2017-10-05,Thu,WCQ,WCQ — CONMEBOL (M),Home,D 0–0,Argentina,Peru,Y,,90,0,0,0,0,,,0,0,,,,,,,,,,,,
2017-10-10,Tue,WCQ,WCQ — CONMEBOL (M),Away,W 3–1,Argentina,Ecuador,Y,,90,3,0,0,0,,,0,0,,,,,,,,,,,,
2017-10-14,Sat,La Liga,Matchweek 8,Away,D 1–1,Barcelona,Atlético Madrid,Y,AM,90,0,0,0,0,6,2,0,0,71,7,0,1,0,7,0,41,52,72,9,15
2017-10-18,Wed,Champions Lg,Group stage,Home,W 3–1,Barcelona,Olympiacos,Y,FW,90,1,1,0,0,7,3,0,0,,,,0,,,,,,,,
2017-10-21,Sat,La Liga,Matchweek 9,Home,W 2–0,Barcelona,Málaga,Y,FW,90,0,1,0,0,3,1,0,0,64,11,0,0,1,5,1,38,48,63,6,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-28,Sat,La Liga,Matchweek 10,Away,W 2–0,Barcelona,Athletic Club,Y*,FW,90,1,0,0,0,4,2,0,0,65,12,0,0,1,10,1,36,47,62,7,10
2017-10-31,Tue,Champions Lg,Group stage,Away,D 0–0,Barcelona,Olympiacos,Y*,FW,90,0,0,0,0,7,5,0,0,,,,0,,,,,,,,
2017-11-04,Sat,La Liga,Matchweek 11,Home,W 2–1,Barcelona,Sevilla,Y,FW,90,0,0,0,0,5,2,1,0,78,8,0,1,0,6,1,49,65,76,8,12
2017-11-11,Sat,Friendlies (M),Friendlies (M),Away,W 1–0,Argentina,Russia,Y*,AM,90,0,0,0,0,,,0,0,,,,,,,,,,,,
2017-11-18,Sat,La Liga,Matchweek 12,Away,W 3–0,Barcelona,Leganés,Y,"FW,AM",90,0,0,0,0,3,1,0,0,51,14,0,1,0,5,2,32,42,48,3,7
2017-11-22,Wed,Champions Lg,Group stage,Away,D 0–0,Barcelona,Juventus,N,,35,0,0,0,0,1,0,0,0,,,,0,,,,,,,,
2017-11-26,Sun,La Liga,Matchweek 13,Away,D 1–1,Barcelona,Valencia,Y,FW,90,0,1,0,0,4,2,0,0,121,12,0,0,1,6,1,76,101,103,3,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-02,Sat,La Liga,Matchweek 14,Home,D 2–2,Barcelona,Celta Vigo,Y,FW,90,1,0,0,0,11,3,0,0,91,6,0,1,0,6,1,53,72,83,5,6
2017-12-05,Tue,Champions Lg,Group stage,Home,W 2–0,Barcelona,Sporting CP,N,,30,0,0,0,0,3,2,0,0,,,,0,,,,,,,,
2017-12-10,Sun,La Liga,Matchweek 15,Away,W 2–0,Barcelona,Villarreal,Y*,FW,90,1,0,0,0,6,2,0,0,105,15,1,0,1,11,1,69,87,96,8,10
2017-12-17,Sun,La Liga,Matchweek 16,Home,W 4–0,Barcelona,La Coruña,Y,FW,90,0,1,0,1,10,2,0,0,82,6,0,0,0,10,2,49,59,63,5,7
2017-12-23,Sat,La Liga,Matchweek 17,Away,W 3–0,Barcelona,Real Madrid,Y,FW,90,1,1,1,1,3,2,0,0,68,28,1,0,4,12,2,51,58,63,4,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,Sun,La Liga,Matchweek 18,Home,W 3–0,Barcelona,Levante,Y,FW,90,1,1,0,0,5,2,0,0,73,7,0,1,0,7,3,45,58,67,6,8
2018-01-11,Thu,Copa del Rey,Round of 16,Home,W 5–0,Barcelona,Celta Vigo,Y,,58,2,1,0,0,,,0,0,,,,,,,,,,,,
2018-01-14,Sun,La Liga,Matchweek 19,Away,W 4–2,Barcelona,Real Sociedad,Y*,FW,90,1,1,0,0,5,2,0,0,49,13,0,0,0,6,1,29,40,40,4,5
2018-01-17,Wed,Copa del Rey,Quarter-finals,Away,L 0–1,Barcelona,Espanyol,Y,,90,0,0,0,1,,,0,0,,,,,,,,,,,,
