Stadium,Biographie,url de l'image,Capacity,Country
Stade_Ahmed_Zabana,"Le stade Ahmed-Zabana (en arabe :  ملعب أحمد زبانة), est un stade municipal omnisports dont la capacité est de 40 000 places, et revêtu en gazon artificiel.
Il est situé dans le quartier d'El Hamri à Oran. Le nom du stade a été donné en l'honneur d’Ahmed Zabana. Auparavant, le stade était en tartan mais en 1988, il s'est doté du gazon naturel mais le mauvais entretien de la pelouse due à la mauvaise gestion et la négligence des responsables du sport a poussé ces derniers à le remplacer par du gazon synthétique à nouveau[1].
Mais en 2019 puis en 2020, le Ministère de la Jeunesse et des Sports à annoncé la reconversion à nouveau du stade Zabana en gazon naturel, en prévision de l'organisation du Championnat d'Afrique des nations 2022[2] ainsi que ceux des Jeux méditerranéens de 2022[3].
Les clubs domiciliés sont le MC Oran pour le football. Le club de rugby à XV, le Stade oranais est programmé lui aussi pour être domicilié au stade, il est en attente du lancement du premier championnat national de rugby.
En 1955 début de construction du stade municipal par le maire d’Oran, Henri Fouques-Duparc, dans le quartier Lyautey arrondissement d'El Hamri d'une capacité de 40 000 places assises.[4] Le stade est inauguré le 5 mai 1957 sous le nom du « Parc municipal des sports » mais il portera par la suite le nom de son fondateur, le « Stade Henri-Fouques-Duparc » jusqu'à l'indépendance du pays.
En 1962, le stade sera baptisé « Stade municipal », et était le plus grand stade d'Afrique. Il sera nommé par la suite, « Stade du 19-Juin-1965 » en commémoration du coup d'état perpétré par Houari Boumédiène contre Ahmed Ben Bella.
Le 25 novembre 1992, cette infrastructure sera rebaptisée jusqu'à aujourd'hui au nom du chahid Ahmed Zabana par le président de la République défunt, Mohamed Boudiaf, à l'occasion de la finale de la coupe d'Algérie de la même année remportée par la JS Kabylie face à l'ASO Chlef.
Géré depuis l'indépendance du pays par l'OPOW, le stade a bénéficié de plusieurs opérations de rénovation. Durant la saison 1974-1975, il est revêtu en gazon synthétique.
En 1988, le stade se dota d'une pelouse en gazon naturel et abrita par la suite le match retour MC Oran et Raja de Casablanca (Maroc) pour le compte de la finale de la coupe d'Afrique des clubs champions de 1989.
En 2002, il est fermé à nouveau pour travaux de rénovation après avoir été retenu pour les rencontres de football féminin des Jeux arabes de 2004.
Au mois de janvier 2008, il a subi des rénovations pour le rendre compatible avec la pratique du rugby à XV. Il a été doté d'une pelouse artificielle de cinquième (5e) génération, d'éclairage, d'un nouveau tableau d'affichage électronique, des réparations des canaux d'eau et de la restauration des gradins pour ouvrir en septembre 2009.
En 2013 Il est rénové à deux reprises, la première avant la Coupe d'Afrique des nations juniors 2014 qu'Oran organise conjointement avec Aïn Témouchent. La deuxième se termine par la pause des sièges.
Avant l'indépendance, le stade Ahmed-Zabana qui était le plus grand du pays abritait la plupart des rencontres importantes nationales et internationales. C'est ainsi qu'après 5 juillet 1962 que les grandes rencontres ont été délocalisées vers le stade du 20 août 1955 et ça avant l'inauguration du stade du 5-Juillet-1962 le 17 juin 1972 qui est devenu depuis l'enceinte principale du pays. Parmi les grands événements abrités :
Un grand match de gala entre le Real Madrid, Champion d’Europe en titre, et le Stade de Reims le finaliste.
Le Grand Match Amical du siècle en Algérie opposant l'Algérie au Brésil a été joué au stade municipal (Ahmed Zabana) devant 60 000 spectateurs. Monsieur Ahmed Ben Bella le premier Président de la République Algérienne, et ancien joueur de l'O Marseille était présent pour saluer les géants du Brésil.
Le roi Pelé revient pour la deuxième fois à Oran après son premier match disputé il y a 5 ans avec l'équipe du Brésil mais cette fois ci avec le grand club Santos FC, vainqueur de la Copa Libertadores d'Amérique du Sud et qui affronte à nouveau l'équipe d'Algérie.
Arbitre : M. Kaïd
",//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Stade_Ahmed_Zabana_2.jpg/260px-Stade_Ahmed_Zabana_2.jpg,40000,Algeria
Stade_de_l'Unité_Maghrébine,"Le Stade de l'Unité Maghrébine (en arabe : ملعب الإتحــاد المغــاربـي), aussi appelé Stade de l'Union Maghrébine, est un stade de football inauguré en 1987 situé dans la ville de Béjaïa.
Il a une capacité d'environ 17 500 places assises. II abrite les rencontres de football des deux clubs de football de la ville: la JSM Béjaïa et le MO Béjaïa.
Le stade a été rénové en 2009 en remplaçant le gazon naturel par une pelouse synthétique.

",Inconnue,22000,Algeria
Stade_Mohamed_Boumezrag,"Le stade Mohamed-Boumezrag (en arabe : ملعب محمد بومزراق), est un stade olympique situé à Chlef, en Algérie, construit à la fin des années 1970[1], baptisé le 1er novembre 1989 du nom du joueur: Mohamed Boumezrag, un natif de la ville [2], sa capacité est de 25 000 spectateurs[3]. Le stade accueille les matchs de La ligue 1 algérienne et de la Coupe d'Algérie de football.
Le 1er novembre 1989, un tournoi international de football est organisé à Chlef à l'occasion de la dénomination du stade olympique au nom de Mohamed Boumezrag[2].
Le stade a été fermé pour longtemps après le tremblement de terre d'El-Asnam (1980). Il a connu une opération de rénovation en 2004 et dispose depuis de toutes les commodités nécessaires. Le terrain a été revêtu d'un gazon synthétique de la 5e génération. Le stade s'est doté également d'une piste d'athlétisme[3].
Le stade est doté d'un système d'éclairage à la suite de travaux de rénovation qui se sont achevés en juillet 2008. Les travaux réalisés par l'entreprise Condor ont duré 4 mois et ont coûté 90 000 000,00 DA, ils ont porté sur l'installation de grands pylônes aux quatre coins du stade de 42 projecteurs chacun[4], et un groupe électrogène de 400 Kva[5]. 
En septembre 2009, des travaux d'aménagement ont été réalisés en prévision du lancement du 1er championnat professionnel. Les travaux ont coûté 11 000 000,00 DA et ont ciblé l'aire de jeu, les gradins et les vestiaires[6].
Une nouvelle opération de rénovation a eu lieu en 2014, la pelouse du stade a été remplacée par une nouvelle en gazon synthétique de dernière génération. L'opération de rénovation a coûté 30 000 000,00 DA[7],[8].
Le stade fait partie d'un complexe sportif qui abrite dans son enceinte une piscine olympique[9], un hôtel et des terrains de football en gazon naturel.
Le 16 novembre 1989, le stade Boumezrag a accueilli une rencontre amicale entre l'Équipe d'Algérie (Espoirs) et l'Équipe de France espoirs de football. Le score se termina par 3 à 0 en faveur des français. L'équipe algérienne était entrainée par Hacène Lalmas, l'équipe de France était composée en grande partie des joueurs qui ont remporté la Coupe du monde de football de 1998, on cite Marcel Desailly et Youri Djorkaeff[15].
Un tournoi international amical a été organisé en deux jours le 1er novembre 1989, comprenant les équipes de l'Association sportive des FAR (Forces Armées Royale marocaines), La Marsa de Tunisie, la Jeunesse sportive de Kabylie et l'équipe locale ASO Chlef. Le titre a été remporté par l'équipe marocaine[16],[2].
Le stade Boumezrag a abrité un nombre de jubilés et de fêtes sportives pour honorer des anciens joueurs de l'ASO Chlef.
La zone du stade Boumezrag est desservie par le réseau de bus de l'entreprise de transport urbain de Chlef (ETUC) par la ligne allant de la Gare routière (SOGRAL) vers La gare ferroviaire.
La gare routière se trouve à 1,3 km du stade (15 minutes à pied) et la gare ferroviaire à 5 km. 
En voiture, le stade est accessible depuis la RN4 et l'Autoroute Est-Ouest en prenant la sortie «Chlef Ouest» (Distance 8 km). Le stade dispose d'un parking gratuit.
L'Aéroport international de Chlef quant à lui se trouve à 11 km du stade.
L'hôtel El Hadef (3 étoiles) se trouve à 100 m au nord du stade Boumezrag.
L'hôtel du complexe olympique se trouve à 850 m (10 minutes à pieds) au sud du stade Boumezrag au bord de la RN4.
Pelouse du stade Boumezrag (2009)
Tribunes Ouest Stade Boumezrag
Match entre ASO Chlef et WA Tlemcen en 2019 au Stade Boumezrag
Virage sud au stade Boumezrag (2019)

",//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Stade_Boumezrag.jpg/260px-Stade_Boumezrag.jpg,17000,Algeria
Stade_Mohamed-Benhaddad,"Le stade Mohamed Benhaddad (en arabe : ملعب محمد بن حداد) est basé à Kouba, RC Kouba qui joue ses matches sur ce stade de football, il peut accueillir 15 000 spectateurs.
Le stade Mohamed Benhaddad[1] est situé à 14 kilomètres à l'est d'Alger, à 66 kilomètres à l'est de Tipaza et à 2 kilomètres de la Méditerranée. Elle est localisée dans la commune de Kouba dans la Mitidja de la Basse Kabylie[2].
",Inconnue,10000,Algeria
Stade_Omar_Hamadi,"Le stade Omar-Hamadi (en arabe : ملعب عمر حمادي), est un stade de football situé à Bologhine, au nord d'Alger. Construit en 1935, l'enceinte accueillait alors les rencontres de l'AS Saint-Eugène, équipe composée de pieds-noirs basée à Saint-Eugène, du USMA, ancien nom de la commune de Bologhine . Bonlieu d'Alger, Depuis l'indépendance de l'Algérie en 1962, le stade est la résidence de l'USM Alger (et du MC Alger, partiellement). 
Le stade est bordé par la mer Méditerranée au nord, la basilique Notre-Dame d'Afrique au sud, et par les communes de Bab El Oued et de Raïs Hamidou, respectivement à l'est et à l'ouest.
La capacité du stade est d'environ 15 000 places. La pelouse est en gazon synthétique de quatrième génération. Le stade Omar-Hamadi a connu plusieurs expansions au fil du temps, mais aussi la démolition d'une tribune en 2003.
Le stade communal de Saint Eugène (Stade Roger Lapergue) fut inauguré le 19 janvier 1919[1] et son architecture faisait de lui l'un des plus beaux stades de son époque. Il avait été construit au départ avec deux tribunes latérales et une salle des fêtes.
L'Association Sportive Saint Eugènoise (ASSE), créée le 1er janvier 1908, recevait ses adversaires sur la pelouse du stade communal dont elle avait la priorité, le Mouloudia Club d'Alger (MCA) et l'Olympique Musulmane de Saint-Eugène devaient se contenter des quelques créneaux que lui laissait l'équipe pied-noire qui était favorisée par l'administration coloniale.
De grands joueurs ont eu à fouler la pelouse du stade de Saint Eugène, on citera à cet effet l'armada du grand stade de Reims des Kopa, Piantoni, Glowaski, Jonquet, Panverne et autres Colonna.
En dehors du football, le stade de Saint Eugène a eu à accueillir des compétitions de différentes disciplines telles que : le stock car (course de voitures), le handball à onze, le Moto-Ball ainsi que des activités extra-sportives telles que des projections de cinéma en plein air.
En 1957, la troisième tribune sera construite, composée de deux tribunes superposées du côté sud, arquées et reliant les deux tribunes originelles, cette nouvelle tribune donnera un aspect moderne au stade municipal.
Après l'indépendance de l'Algérie en 1962, le stade de Saint-Eugène prendra le nom de Bologhine, nouvelle appellation de la commune.
La tribune supérieure du stade fut sérieusement endommagée au niveau des piliers lors du séisme de 1980 qui a ravagé la ville d'El-Asnam (actuellement Chlef) et elle est restée depuis interdite d'accès au public et finit - après d'interminables travaux- par être démolie en 2003.
En 1998, le stade de Bologhine prit le nom de feu-Omar Hamadi, ancien dirigeant du club et révolutionnaire de la première heure (il fut condamné à mort pendant la guerre de libération nationale) et qui a été tragiquement assassiné avec ses deux fils à Bouzareah (Alger) par un groupe terroriste en 1995.
En 2000, une nouvelle tribune fut construite afin d'élargir la capacité d'accueil du stade, qui passa ainsi de 10 000 à 30 500 spectateurs, l'USM Alger le club qui détient la concession du stade a également investi dans la mise en place d'infrastructures nécessaires à la récupération et à l'entraînement des joueurs : sauna, salle de sport et restaurant.

",Inconnue,12000,Algeria
Stade_Tahar_Zoughari,"Le Stade Tahar Zoughari (en arabe : ملعب الطاهر زوقاري), est un stade omnisports situé dans la ville algérienne de Relizane dont la capacité est de 30 000 places, et revêtu en gazon artificiel 5e génération. Le club de football domicilié dans le stade est le Rapid Club de Relizane.
Le stade a été inauguré le 18 mars 1987 par un match amical entre l'Algérie et l'Olympique de Marseille[1].

",Inconnue,20000,Algeria
Estádio_11_de_Novembro,"Le stade national du 11-Novembre (en portugais : Estádio Nacional 11 de Novembro) est un stade omnisports situé dans la commune de Camama, à Talatona, près de Luanda en Angola.
Dès son ouverture, il sera utilisé pour la plupart des matchs de football et accueillera les évènements principaux du pays comme la CAN 2010. Ce stade aura la capacité de 50 000 places.
Ce stade a été choisi pour accueillir les matchs du Groupe A de la Coupe d'Afrique des nations de football 2010, ainsi que les cérémonies d'ouverture et de clôture de la compétition.
Inauguré le 27 décembre 2009 en présence du Président José Eduardo dos Santos, le stade a une capacité de 50 000 spectateurs, et répond à toutes les exigences de fonctionnalité, de sécurité et de modernité imposée par la FIFA.
Il a été édifié par la Shanghai Urban Construction Group Corporation, avec l'aide de 1 200 travailleurs chinois et de 350 angolais.
",Inconnue,50000,Angola
El_Monumental,"Le stade Monumental Antonio Vespucio Liberti, plus communément surnommé El Monumental, est un stade de football situé dans la capitale argentine de Buenos Aires. Parfois appelé l'Estadio Monumental de Núñez du nom du quartier Núñez, il se situe en fait aux limites de Belgrano, un des quartiers chics de la ville. 
Il a pour résident le Club Atlético River Plate, un des clubs les plus prestigieux d'Amérique du Sud, dont il porte le nom d'un ancien président, Antonio Vespucio Liberti, mort en 1978. L'enceinte sert également à l'accueil des matchs de l'équipe nationale argentine, dont il a accueilli la victoire en finale de la Coupe du monde de football 1978[3].
Sa capacité (61 321 places en 2013) en fait le plus grand stade d'Argentine.
Le club de River Plate est fondé en 1901. Il devient vite l'un des principaux clubs d'Argentine, dont il remporte le championnat en 1920 (amateur) puis en 1932 (professionnel). Fondé dans le quartier de La Boca, le club est depuis 1923 basé à Palermo, sur un terrain dont il n'est pas propriétaire. À cette époque, River Plate acquiert son surnom Los Millonarios car ses dirigeants n'hésitent pas à investir beaucoup d'argent pour assouvir leurs ambitions, comme lorsqu'ils font venir à prix d'or l'attaquant Bernabé Ferreyra en 1932. 
Au début des années 1930, il apparaît que le club ne pourra pas rester indéfiniment résident de son stade du moment. Président depuis 1933, Antonio Vespucio Liberti (en) est convaincu de l'importance pour le club d'être propriétaire d'un grand stade. Le 31 octobre 1934, il parvient à convaincre les autres dirigeants du club à faire l'acquisition d'un terrain de 5 ha à proximité de Belgrano, relativement loin du centre-ville, pour y construire un grand stade[3],[4]. Ce choix prête à polémique, car la zone est déserte. De plus ce sont de terres gagnées sur la côte marécageuse du Rio de la Plata quelques décennies plus tôt, à la suite des travaux engagés par l’Écossais Daniel White pour installer un hippodrome, ce qui promet des travaux de construction complexes. Pour autant, le gouvernement, séduit par la perspective de disposer d'un grand stade pour l'équipe nationale, soutient le projet. 3,5 ha sont donnés par la municipalité, portant à 8,5 ha la surface disponible. Le 25 mai 1935, la première pierre est posée. Il faut cependant un peu plus d'un an pour que la construction débute, sous la direction des architectes José Aslan et Héctor Ezcurra, après un prêt par le gouvernement de 200 millions de pesos. Le projet vise à construire un stade olympique de 120 000 places, avec une piste d'athlétisme et de nombreuses installations autour destinés aux socios[2].
Deux ans seront nécessaires à la construction de l'enceinte, un temps relativement court étant donné les difficultés liées au terrain. Mais le projet est urgent car River Plate est expulsé de son stade de Palermo en 1937. La tribune Nord est remise à plus tard car le club manque de fonds pour en achever la construction, donnant à l'enceinte une forme de fer à cheval[3].
L'Estadio Monumental est officiellement inauguré le 25 mai 1938. Le lendemain, un match opposant River Plate au Peñarol, multiple champion d'Uruguay en titre, est remporté par le club argentin 3 buts à 1, devant près de 68 000 spectateurs. Au début des années 1940, l'équipe de River, surnommée La Máquina , remporte quatre titres de champion d'Argentine. 
En 1951, le Monumental accueille les épreuves d’athlétisme et la cérémonie de clôture des premiers Jeux panaméricains. En 1958, à la suite de la vente d'Omar Sívori à la Juventus de Turin pour dix millions de pesos, le président Enrique Pardo (es) commande la construction de la tribune Nord, portant la capacité totale du stade à près de 100 000 places[3]. Le départ de l'attaquant marque le début d'une période difficile pour le club, qui ne remporte plus aucun trophée en dix-huit ans.
Le 23 juin 1968[5], à l'issue d'un Superclásico au Monumental, un mouvement de panique parmi les supporters de Boca Juniors provoque la mort de 71 spectateurs, âgés en moyenne de 19 ans, et fait plus de 150 blessés, écrasés ou asphyxiés contre une des portes de sortie restée fermée. L’événement est connu comme la « Tragédie de la porte 12 ». Après trois ans d’enquête, aucun coupable n’a pu être désigné, ni parmi les supporters, ni parmi la police. Depuis les portes du stade ne sont plus nommées avec des chiffres mais par des lettres[6],[7].

La dernière grande rénovation du stade date de 1977-1978, à l'occasion de la Coupe du monde de football 1978. La junte militaire au pouvoir en fait le principal stade de la compétition et prête de l'argent au club pour réaliser des travaux de modernisation[8]. La tribune Nord est achevée avec la construction d'un deuxième niveau, et les places debout sont remplacées par des places assises, fixant la capacité à environ 72 000 places pour la compétition. Six matchs y sont joués, dont le match pour la 3e place et la finale, remportée par l'Argentine devant les Pays-Bas[3].
Depuis lors le stade a été peu modifié, sa capacité habituelle de 65 000 places pouvant monter à 76 600 pour les grands évènements, comme le Superclásico opposant River Plate à Boca Juniors. Depuis 1986, l'enceinte est officiellement l'Estadio Monumental Antonio Vespucio Liberti, du nom de l'ancien président du club de River Plate qui a initié sa construction[3].
En 2011, un projet de modernisation et d'agrandissement du Monumental est présenté par le club, sous le nom River Plate Forum. Ce projet prévoit notamment l'augmentation de la capacité à 75 000 places et la couverture des tribunes. Il a été conçu par le Grupo Torcello, par ailleurs promoteur d'un pharaonique projet Buenos Aires Forum, qui visait à construire la plus haute tour du monde sur une île artificielle au large de la ville, un projet abandonné...
Bien que la capacité actuelle soit d'environ 64 000 places, le Monumental a accueilli des affluences bien supérieures : environ 85 000 spectateurs assistent ainsi aux finales retour des Copa Libertadores 1986 et 1996 (la compétition continentale des clubs sud-américains) remportées les deux fois par River Plate sur l'América de Cali. Plus encore, on estime à 100 000 le nombre de fans entassés le 17 août 1975 pour le derby entre River Plate et le Racing Club, au cours duquel les Millonarios fêtent leur premier titre de champion d'Argentine depuis dix-sept ans.
L'équipe nationale a également attiré des grandes affluences au Monumental. En 1993, la Colombie devient la première, et à ce jour la seule, équipe nationale à avoir battu l'Argentine au Monumental (5-0) pour un match qualificatif pour la Coupe du monde[9].
Le stade accueille notamment plusieurs rencontres de la Copa América 1946 organisée par l'Argentine, et notamment la victoire décisive contre le Brésil le 10 février, offrant le titre aux locaux. 
En 1987, entre 75 et 87 000 spectateurs assistent à la défaite de l'Argentine en demi-finale face à l'Uruguay. Trois jours plus tard dans le même stade, la Celeste remporte le tournoi face à la Colombie. 
Une troisième finale de Copa América se tient au Monumental en 2011. L'Argentine éliminée en quart de finale, c'est de nouveau l'Uruguay qui l'emporte en finale, face au Paraguay cette fois-ci.
Le Monumental est le théâtre de la cérémonie inaugurale ainsi que de la finale de la Coupe du monde 1978[10]. 
Hormis le football, le stade est également un terrain de jeu occasionnel de l'Équipe d'Argentine de rugby à XV, qui lui préfère cependant l'Estadio José Amalfitani du Vélez Sársfield, un stade un peu plus modeste de Buenos Aires.
Enfin, l'enceinte sert aussi à l'organisation de concerts géants, qui représentent une source de revenu substantielle pour le club. Ainsi, certaines grandes stars de la musique ont chanté au Monumental : Paul McCartney (1993 et 2010), Bruce Springsteen (1989), Michael Jackson (1993), Madonna (1993, 2008 et 2012),The Rolling Stones (1995, 1998 et 2006), AC/DC (1996 et 2009), Bob Dylan (1988), David Bowie (1990), Eric Clapton (1990, 2001, 2011), Guns N' Roses (1992, 1993) et (2011), Ramones (1996), The Police (2007), U2 (1998 et 2006), Red Hot Chili Peppers (2002 et 2011), Miley Cyrus (2011), Metallica (1993, 1999 et 2010), Oasis (2009), Coldplay (2010), Lady Gaga (2012), entre autres. 
Depuis 2003, le festival annuel de musique Quilmes Rock est organisé à divers endroits de Buenos Aires, et en particulier au Monumental.
Le stade se trouve au milieu d'un grand complexe sportif permettant la pratique du tennis ou du basket-ball. Un théâtre, un musée et un grand parc de stationnement complètent également l'ensemble. 
L'accessibilité de l'enceinte, située à l'intersection des avenues Figueroa Alcorta et Udaondo, est assurée par réseaux de transports en commun (train et bus)[3].

",//upload.wikimedia.org/wikipedia/commons/thumb/5/54/RiverPlateStadium.jpg/260px-RiverPlateStadium.jpg,61321,Argentina
Estadio_Ciudad_de_La_Plata,"L'Estadio Ciudad de La Plata est situé à La Plata, en Argentine. Il est aussi connu comme le Stade Único (Unique) et est propriété de la Province de Buenos Aires. Il est administré par le gouvernement provincial, la Municipalité de La Plata et les clubs Estudiantes de La Plata et Gimnasia y Esgrima La Plata.
En 2011, il accueille des matchs de la Copa América 2011, dont le match d'ouverture et la finale. À partir de 2012, il accueille certains matchs de l’équipe d'Argentine de rugby à XV dans le cadre du Rugby Championship.

",Inconnue,53000,Argentina
Estadio_Diego_Armando_Maradona,"Ne pas confondre avec le Stade Diego Armando Maradona à Naples.
L'Estadio Diego Armando Maradona est un stade de football situé dans le quartier de La Paternal, à Buenos Aires (Argentine).
Il accueille les matchs à domicile du club des Argentinos Juniors évoluant en première division.
Argentinos Juniors en est le club résident depuis son inauguration, en 2003. Il porte le nom de Diego Maradona, considéré comme le meilleur joueur de l'histoire du football argentin, qui a porté les couleurs d'Argentinos Juniors de 1976 à 1981. 
La construction du stade nécessita dix années de travaux, du fait de la situation financière difficile du club.

",Inconnue,24800,Argentina
